date;HICP Index
31/03/2020;105,13
30/04/2020;105,43
31/05/2020;105,33
30/06/2020;105,69
31/07/2020;105,32
31/08/2020;104,88
30/09/2020;104,96
31/10/2020;105,15
30/11/2020;104,8
31/12/2020;105,15
31/01/2021;105,32
28/02/2021;105,54
31/03/2021;106,53
30/04/2021;107,14
31/05/2021;107,42
30/06/2021;107,72
